419001295,13.257333,80.340000,None,None,None,None,None,2026-06-03 04:04:47.725+00,lrit,None,OCEAN SUCCESS,9760940,None,None,None,None,None,General,None
419001302,23.958000,38.210000,None,None,None,None,None,2026-06-03 04:09:11.541+00,lrit,None,NANDA DEVI,9232503,None,None,None,None,None,Tankers,None
419001304,22.424000,68.857333,None,None,None,None,None,2026-06-03 04:11:13.649+00,lrit,None,SSL SABARIMALAI,9223899,None,None,None,None,None,Dry Cargo Vessels,None
419001306,18.918667,72.718000,None,None,None,None,None,2026-06-03 04:09:03.295+00,lrit,None,ADINATH,9437634,None,None,None,None,None,Dry Cargo Vessels,None
419001308,13.256667,80.339333,None,None,None,None,None,2026-06-03 04:06:48.456+00,lrit,None,OCEAN STAR,9747857,None,None,None,None,None,Offshore vessels,None
419001313,-24.461333,-3.142667,None,None,None,None,None,2026-06-03 04:02:25.236+00,lrit,None,JAG  LOKESH,9390599,None,None,None,None,None,Tankers,None
419001324,16.608000,40.714000,None,None,None,None,None,2026-06-03 04:11:20.39+00,lrit,None,SSL BRAHMAPUTRA,9238806,None,None,None,None,None,Dry Cargo Vessels,None
419001327,20.278667,86.676667,None,None,None,None,None,2026-06-03 04:04:26.08+00,lrit,None,APJ ANGAD 2,9272967,None,None,None,None,None,Roll on Roll off,None
419001334,7.846000,93.679333,None,None,None,None,None,2026-06-03 04:06:41.865+00,lrit,None,SINDHU,9823194,None,None,None,None,None,Ferry,None
419001351,16.806000,83.228000,None,None,None,None,None,2026-06-03 04:07:02.582+00,lrit,None,APJ KABIR ANAND,9288411,None,None,None,None,None,Bulk Carrier Without gear,None
419001352,22.606667,68.918667,None,None,None,None,None,2026-06-03 04:04:07.371+00,lrit,None,TCI EXPRESS,9138238,None,None,None,None,None,Container With gear,None
419001354,11.722667,92.780667,None,None,None,None,None,2026-06-03 04:06:32.869+00,lrit,None,MAKRUZZ PEARL,9188879,None,None,None,None,None,Cruise Liner,None
419001357,8.488667,66.955333,None,None,None,None,None,2026-06-03 04:06:27.664+00,lrit,None,JAG VIRAAT,9307762,None,None,None,None,None,CNG,None
419001364,19.325333,71.388000,None,None,None,None,None,2026-06-03 04:11:18.1+00,lrit,None,PRIYA TWENTY THREE,9299082,None,None,None,None,None,Diving Support Vessel,None
419001365,18.924667,72.866667,None,None,None,None,None,2026-06-03 04:06:55.145+00,lrit,None,PRIYA TWENTY FIVE,9304722,None,None,None,None,None,Anchor Handling,None
419001366,19.210000,72.108667,None,None,None,None,None,2026-06-03 04:09:07.041+00,lrit,None,PRIYA TWENTY SEVEN,9370678,None,None,None,None,None,Platform Support Vessel (PSV),None
419001368,20.263333,70.565333,None,None,None,None,None,2026-06-03 04:11:19.62+00,lrit,None,HARI LEELA,9207728,None,None,None,None,None,Product,None
419001368,20.263333,70.565333,None,None,None,None,None,2026-06-03 04:11:19.62+00,lrit,None,HARI LEELA,9207728,None,None,None,None,None,Tankers,None
419001369,22.656667,69.741333,None,None,None,None,None,2026-06-03 04:04:38.016+00,lrit,None,SSL KRISHNA,9239898,None,None,None,None,None,Dry Cargo(Break Bulk) Without heavy lift gear,None
419001387,3.183333,-43.385333,None,None,None,None,None,2026-06-03 04:02:22.93+00,lrit,None,JAG VASANT,9307750,None,None,None,None,None,LPG,None
419001388,9.951333,76.283333,None,None,None,None,None,2026-06-03 04:06:54.404+00,lrit,None,TRITON LIBERTY,9530266,None,None,None,None,None,Offshore vessels,None
419001413,12.934667,74.816000,None,None,None,None,None,2026-06-03 04:07:01.843+00,lrit,None,DARYA SHAAN,9467897,None,None,None,None,None,Bulk Carriers,None
419001415,19.357333,71.836000,None,None,None,None,None,2026-06-03 04:04:09.628+00,lrit,None,GREATSHIP ADITI,9457256,None,None,None,None,None,Offshore vessels,None
419001420,16.172667,82.685333,None,None,None,None,None,2026-06-03 04:04:50.71+00,lrit,None,SANMAR SANTOOR,9240847,None,None,None,None,None,Tankers,None
419001421,13.096000,80.295333,None,None,None,None,None,2026-06-03 04:06:57.377+00,lrit,None,SAGAR TARA,9867205,None,None,None,None,None,General,None
419001422,13.090667,80.299333,None,None,None,None,None,2026-06-03 04:06:47.719+00,lrit,None,SAGAR ANVESHIKA,9867217,None,None,None,None,None,General,None
419001424,18.943333,72.861333,None,None,None,None,None,2026-06-03 04:06:45.567+00,lrit,None,ACOMS 11,9190676,None,None,None,None,None,Offshore Support Vessel (OSV),None
419001424,18.943333,72.861333,None,None,None,None,None,2026-06-03 04:06:45.567+00,lrit,None,ACOMS 11,9190676,None,None,None,None,None,Offshore vessels,None
419001425,20.375333,71.935333,None,None,None,None,None,2026-06-03 04:04:21.607+00,lrit,None,OFFSHORE ADVENTURE,9285536,None,None,None,None,None,Offshore vessels,None
419001426,17.694667,83.274667,None,None,None,None,None,2026-06-03 04:09:00.249+00,lrit,None,KESTREL,9251028,None,None,None,None,None,Tankers,None
419001441,17.152000,71.202000,None,None,None,None,None,2026-06-03 04:09:04.043+00,lrit,None,SANMAR SRUTHI,9181869,None,None,None,None,None,Wine,None
419001470,20.156000,86.808667,None,None,None,None,None,2026-06-03 04:09:12.28+00,lrit,None,CORONET,9285706,None,None,None,None,None,Tankers,None
419001471,18.937333,72.868000,None,None,None,None,None,2026-06-03 04:04:27.578+00,lrit,None,CREATIVE-1,9300233,None,None,None,None,None,Offshore vessels,None
419001481,13.244667,80.402000,None,None,None,None,None,2026-06-03 04:06:53.649+00,lrit,None,PATRIOT,9242156,None,None,None,None,None,Tankers,None
419001483,9.978000,76.252667,None,None,None,None,None,2026-06-03 04:02:39.217+00,lrit,None,TCI ANAND,9282273,None,None,None,None,None,Container,None
419001485,13.226667,80.405333,None,None,None,None,None,2026-06-03 04:06:36.628+00,lrit,None,FEATHER,9298820,None,None,None,None,None,Tankers,None
419001487,22.494000,69.844000,None,None,None,None,None,2026-06-03 04:11:18.858+00,lrit,None,RELTUG EIGHTEEN,9776327,None,None,None,None,None,Offshore vessels,None
419001488,22.493333,69.845333,None,None,None,None,None,2026-06-03 04:04:16.391+00,lrit,None,RELTUG NINETEEN,9822425,None,None,None,None,None,Offshore vessels,None
419001517,22.392667,69.608000,None,None,None,None,None,2026-06-03 04:04:14.159+00,lrit,None,SHARAN,9688491,None,None,None,None,None,"",None
419001521,18.714667,73.021333,None,None,None,None,None,2026-06-03 04:09:02.55+00,lrit,None,JSW ARJUNGAD,9892274,None,None,None,None,None,Bulk Carrier Without gear,None
419001522,17.304000,73.212667,None,None,None,None,None,2026-06-03 04:07:30.711+00,lrit,None,JSW VISHALGAD,9892303,None,None,None,None,None,Bulk Carrier With gear,None
419001523,21.097333,72.499333,None,None,None,None,None,2026-06-03 04:04:15.645+00,lrit,None,OFFSHORE MONARCH,9249453,None,None,None,None,None,Offshore Support Vessel (OSV),None
419001526,18.853333,72.850667,None,None,None,None,None,2026-06-03 04:07:29.965+00,lrit,None,JSW SURYAGAD,9892327,None,None,None,None,None,Dry Cargo(Break Bulk) Without heavy lift gear,None
419001527,18.761333,72.686667,None,None,None,None,None,2026-06-03 04:09:14.507+00,lrit,None,JSW UDAIGAD,9892315,None,None,None,None,None,"",None
419001530,17.866000,65.462000,None,None,None,None,None,2026-06-03 04:04:22.36+00,lrit,None,MARIA 1,9257280,None,None,None,None,None,Pushing,None
419001531,19.015333,72.971333,None,None,None,None,None,2026-06-03 04:11:22.731+00,lrit,None,THERA,9351177,None,None,None,None,None,Anchor Handling,None
419001532,17.808667,72.945333,None,None,None,None,None,2026-06-03 04:09:01.007+00,lrit,None,JSW PRABALGAD,9892339,None,None,None,None,None,Dry Cargo(Break Bulk) Without heavy lift gear,None
419001534,18.934667,72.858667,None,None,None,None,None,2026-06-03 04:09:13.023+00,lrit,None,SHAKTI,9257278,None,None,None,None,None,Harbour,None
419001535,17.425333,73.046000,None,None,None,None,None,2026-06-03 04:09:05.535+00,lrit,None,JSW FATEHGAD,9899143,None,None,None,None,None,Offshore Support Vessel (OSV),None
419001541,18.749333,72.648000,None,None,None,None,None,2026-06-03 04:04:06.592+00,lrit,None,ADVAITA,9881639,None,None,None,None,None,Bulk Carrier Without gear,None
419001548,18.715333,73.020000,None,None,None,None,None,2026-06-03 04:11:21.177+00,lrit,None,JSW DEVGAD,9899179,None,None,None,None,None,Offshore Support Vessel (OSV),None
419001552,18.712667,73.023333,None,None,None,None,None,2026-06-03 04:04:23.105+00,lrit,None,JSW VAJRAGAD,9899155,None,None,None,None,None,Dry Cargo(Break Bulk) Without heavy lift gear,None
419001556,13.257333,80.341333,None,None,None,None,None,2026-06-03 04:04:30.56+00,lrit,None,ADSUN GENESIS,9503366,None,None,None,None,None,Accommodation Vessel,None
419001562,10.308667,-75.562667,None,None,None,None,None,2026-06-03 04:00:56.747+00,lrit,None,JAG LARA,9488023,None,None,None,None,None,Crude VLCC,None
419001602,22.441333,69.668000,None,None,None,None,None,2026-06-03 04:07:31.476+00,lrit,None,MENCAST 18,9758155,None,None,None,None,None,Dynamic Position Support Vessel (DPSV),None
419001602,22.441333,69.668000,None,None,None,None,None,2026-06-03 04:07:31.476+00,lrit,None,MENCAST 18,9758155,None,None,None,None,None,Offshore Support Vessel (OSV),None
419001620,29.738667,-95.127333,None,None,None,None,None,2026-06-03 03:54:43.332+00,lrit,None,BW ELM,9320752,None,None,None,None,None,LPG,None
419001631,9.945333,76.128667,None,None,None,None,None,2026-06-03 04:09:37.502+00,lrit,None,SM MANALI,9303742,None,None,None,None,None,Container With gear,None
419001649,22.835333,65.676667,None,None,None,None,None,2026-06-03 04:02:18.342+00,lrit,None,LILA VADINAR,9324100,None,None,None,None,None,Chemical,None
419001649,22.835333,65.676667,None,None,None,None,None,2026-06-03 04:02:18.342+00,lrit,None,LILA VADINAR,9324100,None,None,None,None,None,Crude VLCC,None
419001686,16.739333,70.909333,None,None,None,None,None,2026-06-03 04:04:14.902+00,lrit,None,SANMAR SLOKA,9288681,None,None,None,None,None,Product,None
419001712,5.776000,82.222667,None,None,None,None,None,2026-06-03 04:16:36.793+00,lrit,None,LILAC VICTORIA,9589815,None,None,None,None,None,Crude VLCC,None
419001770,18.931333,72.859333,None,None,None,None,None,2026-06-03 04:04:52.96+00,lrit,None,VANESSA 7,9421570,None,None,None,None,None,Diving Support Vessel,None
419001770,18.931333,72.859333,None,None,None,None,None,2026-06-03 04:04:52.96+00,lrit,None,VANESSA 7,9421570,None,None,None,None,None,Multipurpose Support Vessel (MSV),None
419001817,22.764667,69.952000,None,None,None,None,None,2026-06-03 04:09:25.042+00,lrit,None,CULTURE,9333254,None,None,None,None,None,Product,None
419001830,11.658667,92.725333,None,None,None,None,None,2026-06-03 04:04:46.221+00,lrit,None,DRA 1,9413602,None,None,None,None,None,Harbour,None
419001858,17.253333,71.113333,None,None,None,None,None,2026-06-03 04:04:42.483+00,lrit,None,AMNS POLAR,9521813,None,None,None,None,None,Bulk Carrier With gear,None
419001879,8.754667,78.218667,None,None,None,None,None,2026-06-03 04:09:49.442+00,lrit,None,CHENNAI VALARCHI,9279537,None,None,None,None,None,Bulk Carrier Without gear,None
419001879,8.754667,78.218667,None,None,None,None,None,2026-06-03 04:09:49.442+00,lrit,None,CHENNAI VALARCHI,9279537,None,None,None,None,None,Container Without gear,None
419001911,19.122667,72.106667,None,None,None,None,None,2026-06-03 04:02:19.085+00,lrit,None,SEAMEC ANANT,9412206,None,None,None,None,None,Mobile Offshore Drilling Units (MODU),None
419001917,19.154667,68.890667,None,None,None,None,None,2026-06-03 04:02:34.764+00,lrit,None,MISSION,9413779,None,None,None,None,None,Crude Carrier,None
419001918,51.256667,4.359333,None,None,None,None,None,2026-06-03 04:04:17.128+00,lrit,None,JAG PRACHI,9590723,None,None,None,None,None,Product,None
419001934,17.709333,83.282000,None,None,None,None,None,2026-06-03 04:04:34.294+00,lrit,None,APJ SETHU,9317511,None,None,None,None,None,Dry Cargo(Break Bulk) Without heavy lift gear,None
419001940,-25.923333,46.637333,None,None,None,None,None,2026-06-03 04:09:41.224+00,lrit,None,JAG PRIYANKA,9658379,None,None,None,None,None,Product,None
419001941,11.694667,79.793333,None,None,None,None,None,2026-06-03 04:06:38.862+00,lrit,None,SANMAR VISWAMITRA,9659268,None,None,None,None,None,Harbour,None
419001942,13.087333,80.296000,None,None,None,None,None,2026-06-03 04:06:35.875+00,lrit,None,SANMAR VASISHTA,9659256,None,None,None,None,None,Harbour,None
419001944,22.728000,69.694000,None,None,None,None,None,2026-06-03 04:00:58.953+00,lrit,None,DOLPHIN 42,9778210,None,None,None,None,None,Ocean Going,None
419001946,10.834000,79.848667,None,None,None,None,None,2026-06-03 04:04:44.729+00,lrit,None,APJ JAOUAD,9330898,None,None,None,None,None,Bulk Carrier Without gear,None
419001947,22.568667,69.758667,None,None,None,None,None,2026-06-03 04:06:30.627+00,lrit,None,COASTAL ANUGRAH,1061738,None,None,None,None,None,Harbour,None
419001949,13.002000,93.144000,None,None,None,None,None,2026-06-03 04:07:28.459+00,lrit,None,MANNA 25,9527465,None,None,None,None,None,Pushing,None
419001950,18.945333,72.863333,None,None,None,None,None,2026-06-03 04:04:12.66+00,lrit,None,VIKING SPIRIT,9483580,None,None,None,None,None,Cruise Liner,None
