mmsi,latitude,longitude,sog,cog,true_heading,rate_of_turn,navigation_status,updated,source_name,classb_flag,ship_name,imo,callsign,length,width,draught,destination,type_and_cargo,eta
574003810,14.57953,120.93316,0.0,113.6,226.0,0.0,1,2026-06-02 12:00:01.000000,MSSIS,False,ROSA,9191785,3WWG7,0.0,0.0,4.8,PHMNL,81,none
251860440,64.92419,-23.813679,0.0,112.3,23.0,0.0,0,2026-06-02 12:00:01.000000,MSSIS,False,BJORG,0,TFSL,0.0,0.0,0.0,RIF,51,none
538071939,43.78804,7.600392,0.0,205.8,311.0,0.0,5,2026-06-02 12:00:01.000000,MSSIS,False,PROVOCATEUR,9802798,V7A6244,0.0,0.0,2.4,ITVEN,90,none
366864250,60.119083,-149.43153,0.0,92.1,356.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,CHAHUNTA,0,WDA9354,0.0,0.0,4.3,XX XXX,52,none
228454700,43.170723,5.611173,0.0,360.0,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,FMXQ,0.0,0.0,0.0,,36,none
538001665,43.28342,6.9652267,14.9,32.4,32.0,0.0,0,2026-06-02 12:00:01.000000,MSSIS,False,NAUTICA,9200938,V7DM4,0.0,0.0,5.9,FRNCE,60,none
227313860,44.644665,-1.0675883,0.0,257.9,339.0,0.0,4,2026-06-02 12:00:01.000000,MSSIS,False,TREZENCE,9098359,FW8662,0.0,0.0,1.7,OLERON,33,none
338328513,39.024273,-76.53528,0.0,91.9,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,,0.0,0.0,0.0,,37,none
367119810,29.328764,-94.77335,0.0,315.8,511.0,-731.3865,5,2026-06-02 12:00:01.000000,MSSIS,False,ROBERT C LANIER,8643224,WAT3621,0.0,0.0,3.3,BOLIVAR  GALVESTON,0,none
276811000,58.46144,22.050316,0.0,176.0,343.0,0.0,5,2026-06-02 12:00:01.000000,MSSIS,False,RYTAS,8854213,ESNC,0.0,0.0,3.6,CPA 05NM,30,none
563231100,36.960293,-75.548904,13.0,219.3,222.0,2.187374,0,2026-06-02 12:00:01.000000,MSSIS,False,MAERSK FREDERICIA,9969077,9V8565,0.0,0.0,10.8,USORF,74,none
228294030,41.37478,9.224089,0.1,360.0,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,,0.0,0.0,0.0,,37,none
244189000,54.855392,10.522203,0.0,360.0,511.0,-731.3865,5,2026-06-02 12:00:01.000000,MSSIS,False,IRIS,8334990,PEGO,0.0,0.0,2.8,DEKEL,36,none
316041149,37.303974,-76.45498,0.0,360.0,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,,0.0,0.0,0.0,,37,none
238161040,43.044857,16.085873,3.3,258.0,511.0,-731.3865,15,2026-06-02 12:00:01.000000,MSSIS,False,ONYX,0,9A3370,0.0,0.0,0.0,,0,none
636021244,34.823917,128.99022,11.8,91.6,91.0,-0.4017626,0,2026-06-02 12:00:01.000000,MSSIS,False,YM TOGETHER,9789984,5LCZ4,0.0,0.0,14.0,KR PUSPA PNCUS NYC,74,none
368114220,48.670963,-123.405266,0.0,360.0,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,WDL2661,0.0,0.0,0.0,,37,none
538007747,36.51942,-6.2538667,0.0,300.3,287.0,0.0,5,2026-06-02 12:00:01.000000,MSSIS,False,PALANCA RIVER,9815458,V7DR6,0.0,0.0,6.8,ESCADGRAGT,80,none
538071163,43.735195,7.423907,0.0,272.7,75.0,0.0,5,2026-06-02 12:00:01.000000,MSSIS,False,CORAL OCEAN,1004833,V7TI5,0.0,0.0,3.8,IT VEN  MC MON,37,none
354602000,39.27162,1.291205,9.5,105.2,102.0,0.0,0,2026-06-02 12:00:01.000000,MSSIS,False,MEDKON GEMLIK,9103350,3EED3,0.0,0.0,6.1,DZSKI,79,none
586706493,71.59698,30.086191,1.0,228.4,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,,0.0,0.0,0.0,,0,none
244750286,52.383945,4.927485,0.0,317.4,511.0,-731.3865,0,2026-06-02 12:00:01.000000,MSSIS,False,IJVEER 54,0,PH2789,0.0,0.0,2.4,HEEN EN WEER,60,none
367558410,29.73556,-95.20351,0.0,123.8,123.0,0.0,12,2026-06-02 12:00:01.000000,MSSIS,False,ERIN C GRENON,0,WDN7382,0.0,0.0,2.7,KMI PASADENA,57,none
368453530,29.550137,-95.02587,0.0,204.2,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,PATCHWORK,0,,0.0,0.0,0.0,,0,none
219448000,54.60772,11.3710165,1.2,124.5,137.0,0.0,0,2026-06-02 12:00:01.000000,MSSIS,False,GUARD VESSEL ARRIVER,9669005,OWKJ2,0.0,0.0,2.0,GUARD VESSEL FEHMARN,90,none
636018071,-29.880604,31.027964,0.0,200.4,201.0,0.0,5,2026-06-02 12:00:01.000000,MSSIS,False,MSC ADITI,9235581,D5OA6,0.0,0.0,10.1,DURBAN,71,none
211206400,52.859043,5.698993,0.0,360.0,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,DF5000,0.0,0.0,0.0,,37,none
244020543,51.268642,3.8721716,0.0,360.0,511.0,-731.3865,5,2026-06-02 12:00:01.000000,MSSIS,False,LIQUIDOS,0,PD3786,0.0,0.0,0.0,OOSTERHOUT,99,none
368155170,29.788654,-90.06412,3.1,346.5,345.0,0.0,12,2026-06-02 12:00:01.000000,MSSIS,False,TRACEE LYNN,0,WDL6903,0.0,0.0,2.8,US06QE11RC,57,none
503544000,-12.471182,130.84682,0.0,79.1,511.0,-731.3865,5,2026-06-02 12:00:01.000000,MSSIS,False,MATARANKA,9366914,VJSH,0.0,0.0,5.4,DARWIN,52,none
416000625,21.359976,121.33554,2.4,71.9,511.0,-731.3865,0,2026-06-02 12:00:01.000000,MSSIS,False,MAAN FUH TZAY,0,BK7508,0.0,0.0,1.5,,30,none
667003335,22.60082,120.19878,7.6,135.9,135.0,0.0,0,2026-06-02 12:00:01.000000,MSSIS,False,TAI SHUEN,9033555,9LY2532,0.0,0.0,5.2,KAOHSIUNG,80,none
567002160,13.054836,100.887375,0.0,29.2,93.0,-731.3865,0,2026-06-02 12:00:02.000000,MSSIS,False,TUG602,7913684,HSB5960,0.0,0.0,3.2,BANGKOK,52,none
211513520,53.95497,10.870327,1.7,298.2,511.0,-731.3865,0,2026-06-02 12:00:02.000000,MSSIS,False,POETENITZ,0,DD9694,0.0,0.0,1.3,TRAVEMUEMDE,60,none
238117140,43.05221,15.40124,3.2,162.5,511.0,-731.3865,7,2026-06-02 12:00:02.000000,MSSIS,False,PETER PAN,8991475,9A7677,0.0,0.0,3.0,ADRIATIC SEA,30,none
238048910,43.0586,16.197916,0.0,150.2,511.0,-1.1160072,5,2026-06-02 12:00:02.000000,MSSIS,False,,0,9AA3466,0.0,0.0,0.0,,36,none
414065000,14.614747,120.80159,0.0,109.9,191.0,0.0,1,2026-06-02 12:00:02.000000,MSSIS,False,CHANG HANG RUN HAI,9628726,BULL,0.0,0.0,10.1,PH MNL,70,none
215233000,51.41428,2.9872718,14.0,274.4,275.0,0.0,0,2026-06-02 12:00:02.000000,MSSIS,False,AGIOI FANENDES,9798375,9HA5024,0.0,0.0,8.8,WESTHINDER,80,none
538010796,36.310226,19.502592,17.0,270.7,269.0,0.0,0,2026-06-02 12:00:02.000000,MSSIS,False,SHEKOU STAR,9322322,V7A7442,0.0,0.0,10.9,MACAS,71,none
229708000,41.821533,39.83319,0.8,91.2,33.0,-0.044640288,0,2026-06-02 12:00:02.000000,MSSIS,False,SEAMAJESTY,9601223,9HA5572,0.0,0.0,9.5,CHEVRONDSTCPC TERM,80,none
249488000,44.097157,9.858565,0.0,179.4,249.0,0.0,5,2026-06-02 12:00:02.000000,MSSIS,False,JASALI II,8742537,9HA4263,0.0,0.0,4.0,IT SPE,37,none
273532110,54.67421,20.144163,0.0,360.0,511.0,-731.3865,5,2026-06-02 12:00:02.000000,MSSIS,False,KURSHSKAYA KOSA,8607206,UBCI,0.0,0.0,6.2,RU SVETLYY,30,none
247914000,44.09771,9.827155,0.0,113.1,511.0,-731.3865,3,2026-06-02 12:00:02.000000,MSSIS,False,AMMIRAGLIO MAGNAGHI,8642751,IGMA,0.0,0.0,3.8,OPAREA,36,none
440009000,24.219168,-16.38324,11.6,29.7,31.0,0.0,0,2026-06-02 12:00:02.000000,MSSIS,False,HMM DRIVE,9637246,D7DV,0.0,0.0,15.3,SGSINMAPTM,70,none
620800004,24.991795,56.85184,0.1,62.5,511.0,-731.3865,2,2026-06-02 12:00:02.000000,MSSIS,False,LPGC SARAH,9014420,D604004,0.0,0.0,10.5,DJIBOUTI,80,none
319125900,39.490036,2.4764633,0.0,146.4,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,ZGHB9,0.0,0.0,0.0,,37,none
257923000,65.624855,-23.825462,0.0,354.0,252.0,0.0,0,2026-06-02 12:00:02.000000,MSSIS,False,FOSNAKONGEN,9739721,3YYH,0.0,0.0,0.0,PATRO,99,none
622110394,37.013573,3.2107534,6.5,254.4,511.0,-731.3865,0,2026-06-02 12:00:02.000000,MSSIS,False,WATANIA 18,8469795,,0.0,0.0,3.0,SIERRA LEONE,30,none
219022847,55.03358,10.54118,0.3,360.0,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,XPE9091,0.0,0.0,0.0,,37,none
312088000,24.633333,56.746334,0.0,278.0,218.0,0.0,1,2026-06-02 12:00:02.000000,MSSIS,False,LUCKY WEALTH,9182162,V3IU2,0.0,0.0,7.0,SOHAR,0,none
219011224,55.952686,8.36865,3.4,51.8,51.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,XPC3872,0.0,0.0,0.0,,52,none
305591000,37.64067,7.697755,5.5,271.9,271.0,0.0,3,2026-06-02 12:00:02.000000,MSSIS,False,GH FREEDOM,9439929,V2EX7,0.0,0.0,6.9,STAVANGERNORWAY,31,none
266119000,59.32725,18.080381,0.0,0.0,511.0,0.0,15,2026-06-02 12:00:01.000000,MSSIS,False,,0,SBUC,0.0,0.0,0.0,,37,none
224312940,37.212215,-1.7555283,0.4,236.1,511.0,-731.3865,15,2026-06-02 12:00:02.000000,MSSIS,False,MAR I VELA,0,EB6906,0.0,0.0,1.4,,30,none
636017828,24.699179,-95.676,12.8,38.3,43.0,0.0,0,2026-06-02 12:00:02.000000,MSSIS,False,STOLT KIRI,9266231,D5MW8,0.0,0.0,7.1,US HOU,80,none
