mmsi,latitude,longitude,sog,cog,true_heading,rate_of_turn,navigatetion_status,updated,source_name,classb_flag,ship_name,imo,callsign,length,width,draught,destination,type_and_cargo,eta
244700734,52.408787,4.871275,8.8,131.8,511.0,-731.3865,0,1780317008,MSSIS,0,BARCA,0,PD4276,0.0,0.0,1.8,AMSTERDAM,31,1900-01-01 00:00:00
440193090,35.088863,129.099,11.9,309.1,511.0,-731.3865,15,1780317008,MSSIS,0,PILOTBOAT A CHI SEOM,0,300,0.0,0.0,0.0,,0,1900-01-01 00:00:00
261009173,28.125498,-15.426213,0.2,10.3,511.0,0.0,15,1780317008,MSSIS,0,ATALAYA,0,,0.0,0.0,0.0,,0,1900-01-01 00:00:00
218044000,38.72638,8.794828,13.2,67.6,67.0,0.0,0,1780317006,MSSIS,0,HENNEKE RAMBOW,9354430,DDVQ2,0.0,0.0,7.0,ITNAP,79,1900-01-01 00:00:00
366695940,42.380264,-71.041885,0.0,247.7,511.0,-731.3865,0,1780317006,MSSIS,0,ZACHERY REINAUER,7203302,WCU4692,0.0,0.0,4.4,BOSTON,52,1900-01-01 00:00:00
261004322,41.377,2.1816018,0.1,360.0,511.0,0.0,15,1780317008,MSSIS,0,,0,SPA5386,0.0,0.0,0.0,,36,1900-01-01 00:00:00
249867000,37.94162,23.669043,0.0,360.0,511.0,-731.3865,0,1780317006,MSSIS,0,BLADE6,0,9HB5352,0.0,0.0,2.0,ATHENS MARINA,37,1900-01-01 00:00:00
225992806,28.247644,-16.842516,0.1,360.0,511.0,0.0,15,1780317008,MSSIS,0,,0,,0.0,0.0,0.0,,37,1900-01-01 00:00:00
372667000,9.022166,-79.6185,1.1,170.0,511.0,-731.3865,9,1780317007,MSSIS,0,ANCHOA,0,LAUANC,0.0,0.0,0.0,GIJON,60,1900-01-01 00:00:00
354447000,23.453514,117.90842,12.4,53.3,54.0,0.0,0,1780317007,MSSIS,0,WUZHOU STAR,9254575,H9YY,0.0,0.0,14.3,CHINA,70,1900-01-01 00:00:00
